state,fips state code,tribal name,fips code,county,eis facility id,program system code,agency facility id,company name,site name,primary naics code,facility source type,site latitude,site longitude,facility status,facility status year,eis unit id,agency unit id,unit type,unit description,design capacity,design capacity uom,unit status,unit status year,permit status start year,permit status end year,reporting period,emissions operating type,pollutant code,pollutant desc,total emissions,emissions uom,data set
SC,45,,45007,Anderson,4075711,SCDHEC,0200-0144,Santee Cooper,SANTEE COOPER RAINEY,221112,Electricity Generation via Combustion,34.347841,-82.775251,OP,2014,69627513,3,Turbine,NG SIMPLE CYCLE COMB TURB,977,E6BTU/HR,OP,2014,,,A,R,NOX,Nitrogen Oxides,30.636,TON,2018EPA_EGU
SC,45,,45007,Anderson,4948311,SCDHEC,0200-0004,"Duke Energy, LLC",DUKE ENERGY CAROLINAS LLC LEE STEAM STAT,221112,Electricity Generation via Combustion,34.602373,-82.435267,OP,2014,69644613,10,Turbine,#7 COMBUSTION TURBINE,41,MW,OP,2014,,,A,R,NOX,Nitrogen Oxides,20.789,TON,2018EPA_EGU
NY,36,,36061,New York,7994011,NYDEC,2620600012,CONSOLIDATED EDISON COMPANY OF NEW YORK INC,CON ED-EAST RIVER GENERATING STATION,221112,Electricity Generation via Combustion,40.7278,-73.9733,OP,2008,4097013,ER0001,Boiler,CAMD units 60 and 70,1930,E6BTU/HR,OP,,,,A,R,NOX,Nitrogen Oxides,671.045,TON,2018EPA_EGU
VA,51,,51061,Fauquier,9081211,VADEQ,40996,Old Dominion Electric Cooperative - Marsh Run,Old Dominion Electric Cooperative - Marsh Run,221112,Electricity Generation via Combustion,38.5292,-77.7686,OP,2008,58375913,2,Turbine,Unit 2 - Ge-Fa Ct;,1800,E6BTU/HR,OP,,,,A,R,NOX,Nitrogen Oxides,34.767,TON,2018EPA_EGU
CA,6,,6077,San Joaquin,7110911,CARB,391430645,DTE STOCKTON LLC,"DTE STOCKTON, LLC",221111,Electricity Generation via Combustion,37.943753,-121.33036,OP,2008,15076313,36,Unclassified,54 MW ELECT GENERATING STATION,699,E6BTU/HR,OP,2006,,,A,R,NOX,Nitrogen Oxides,107.415,TON,2018EPA_EGU
AZ,4,,4021,Pinal,998111,Pinal,160,Salt River Project Agricultural Improvement & Power,Desert Basin Generating Station,221112,Electricity Generation via Combustion,32.9037,-111.7895,OP,2008,48101813,4557,Turbine,Electric Utility - Low NOx combustion turbine generator and heat recovery steam generator (HRSG),165,E6BTU/HR,OP,2008,,,A,R,NOX,Nitrogen Oxides,52.518,TON,2018EPA_EGU
AZ,4,,4021,Pinal,1032711,Pinal,132,Arizona Public Service Company,Sundance Power Plant,221112,Electricity Generation via Combustion,32.9285,-111.5899,OP,2008,62911513,3997,Turbine,Combustion Turbine GE Power System,495,E6BTU/HR,OP,2008,,,A,R,NOX,Nitrogen Oxides,3.345,TON,2018EPA_EGU
AZ,4,,4021,Pinal,11310611,Pinal,246,Salt River Project Agricultural Improvement & Power,Coolidge Generating Station,221112,Electricity Generation via Combustion,32.916,-111.5042,OP,2010,118550413,4737,Turbine,Combustion Turbine Electricity Generation - CT04,48,E6BTU/HR,OP,,,,A,R,NOX,Nitrogen Oxides,0.523,TON,2018EPA_EGU
AZ,4,,4021,Pinal,11310611,Pinal,246,Salt River Project Agricultural Improvement & Power,Coolidge Generating Station,221112,Electricity Generation via Combustion,32.916,-111.5042,OP,2010,118550313,4738,Turbine,Combustion Turbine Electricity Generation - CT05,48,E6BTU/HR,OP,,,,A,R,NOX,Nitrogen Oxides,0.776,TON,2018EPA_EGU
IL,17,,17021,Christian,1929211,ILEPA,021814AAB,Kincaid Generation LLC,Kincaid Generation LLC,221112,Electricity Generation via Combustion,39.590599,-89.496613,OP,2008,41602913,8,Boiler,Boiler unit #1,6109,E6BTU/HR,OP,,,,A,R,NOX,Nitrogen Oxides,821.674,TON,2018EPA_EGU
