state,fips state code,tribal name,fips code,county,eis facility id,program system code,agency facility id,company name,site name,primary naics code,facility source type,site latitude,site longitude,facility status,facility status year,eis unit id,agency unit id,unit type,unit description,design capacity,design capacity uom,unit status,unit status year,permit status start year,permit status end year,reporting period,emissions operating type,pollutant code,pollutant desc,total emissions,emissions uom,data set
SC,45,,45007,Anderson,4075711,SCDHEC,0200-0144,Santee Cooper,SANTEE COOPER RAINEY,221112,Electricity Generation via Combustion,34.347841,-82.775251,OP,2014,69627413,2,Turbine,SIMPLE CYCLE TURBINES,1700,E6BTU/HR,OP,2014,,,A,R,NOX,Nitrogen Oxides,317.943,TON,2023EPA_EGU
SC,45,,45007,Anderson,4948311,SCDHEC,0200-0004,"Duke Energy, LLC",DUKE ENERGY CAROLINAS LLC LEE STEAM STAT,221112,Electricity Generation via Combustion,34.602373,-82.435267,OP,2014,127001413,14,Combined Cycle (Boiler/Gas Turbine),CCCT2 - Combined Cycle Unit with Duct - Fired Heat Recovery Steam Generator,2880,E6BTU/HR,OP,2018,,,A,R,NOX,Nitrogen Oxides,99.995,TON,2023EPA_EGU
OR,41,,41009,Columbia,7393911,ORDEQ,May-20,Portland General Electric Company,Beaver Plant/Port Westward I Plant,221112,Electricity Generation via Combustion,46.1765,-123.1739,OP,1978,68311713,PWEU1,Combined Cycle (Boiler/Gas Turbine),Turbine,198,E6BTU/HR,OP,,,,A,R,NOX,Nitrogen Oxides,86.188,TON,2023EPA_EGU
CA,6,,6059,Orange,5905811,CARB,3.01026E+11,"AES HUNTINGTON BEACH, LLC","AES HUNTINGTON BEACH, LLC",221112,Electricity Generation via Combustion,33.6446,-117.9782,OP,2008,139958013,20,Combined Cycle (Boiler/Gas Turbine),CT-2,2400,E6BTU/HR,OP,,,,A,R,NOX,Nitrogen Oxides,34.276,TON,2023EPA_EGU
PA,42,,42059,Greene,21255111,PADEP,420590004,,HILLTOP ENERGY CENTER LLC/CARMICHAELS,221112,Electricity Generation via Combustion,39.89306,-79.93013,OP,,156397913,101,Turbine,COMBUSTION TURBINE UNIT #1,3430,E6BTU/HR,OP,2023,,,A,R,NOX,Nitrogen Oxides,63.23,TON,2023EPA_EGU
VA,51,,51061,Fauquier,6744911,VADEQ,40961,Dominion - Remington CT Station,Dominion - Remington CT Station,221112,Electricity Generation via Combustion,38.5447,-77.7707,OP,2008,13418813,3,Turbine,"Unit 3 - Simple Cycle CT 1761 MMbtu/hr natural gas, 1910 MMbtu/hr No. 2 Fuel Oil",1910,E6BTU/HR,OP,,,,A,R,NOX,Nitrogen Oxides,9.786,TON,2023EPA_EGU
MS,28,,28067,Jones,7139511,MSDEQ,2806700035,AI005099,"COOPERATIVE ENERGY, MOSELLE GENERATING P",221112,Electricity Generation via Combustion,31.52835,-89.29972,OP,2008,14101713,AA-005,Turbine,NG/#2 TURBINE 1547MMBTU,1550,E6BTU/HR,OP,,,,A,R,NOX,Nitrogen Oxides,25.429,TON,2023EPA_EGU
MS,28,,28067,Jones,7139511,MSDEQ,2806700035,AI005099,"COOPERATIVE ENERGY, MOSELLE GENERATING P",221112,Electricity Generation via Combustion,31.52835,-89.29972,OP,2008,99118313,AA-011,Turbine,1527MMBTU TURBINE/HRSG7,1530,E6BTU/HR,OP,,,,A,R,NOX,Nitrogen Oxides,24.64,TON,2023EPA_EGU
AR,5,,5069,Jefferson,893911,ARDEQ,506900110,"Entergy Arkansas, LLC",ENTERGY ARK-WHITE BLUFF,221112,Electricity Generation via Combustion,34.4231,-92.1398,OP,2010,46642213,2,Boiler,UNIT 2 COAL/FUEL OIL BOIL,8950,E6BTU/HR,OP,2010,,,A,R,NOX,Nitrogen Oxides,2021.159,TON,2023EPA_EGU
CA,6,,6077,San Joaquin,1405711,CARB,3914302697,NORTHERN CALIFORNIA POWER,NORTHERN CALIFORNIA POWER,221111,Electricity Generation via Combustion,38.088,-121.3871,OP,2008,43607613,1,Turbine,49 MW NATURAL GAS TURBINE ENGINE,463,E6BTU/HR,OP,,,,A,R,NOX,Nitrogen Oxides,0.494,TON,2023EPA_EGU
CA,6,,6077,San Joaquin,14090111,CARB,3914304940,MODESTO IRRIGATION DISTRICT,MODESTO IRRIGATION DISTRICT,221118,Electricity Generation via Combustion,37.7311,-121.1253,OP,,85018813,2,Unclassified,47.5 MW POWER GENERATING SYSTEM,500,E6BTU/HR,OP,,,,A,R,NOX,Nitrogen Oxides,0.258,TON,2023EPA_EGU
MA,25,,25001,Barnstable,18997011,MADEP,1201180,CANAL 3 GENERATING LLC,CANAL 3 GENERATING LLC,221112,Electricity Generation via Combustion,41.770488,-70.509443,OP,2020,137478113,2,Turbine,"GE COMBUSTION TURBINE GENERATOR EU 10 GAS,  ULSD",3471,E6BTU/HR,OP,,,,A,R,NOX,Nitrogen Oxides,0.139,TON,2023EPA_EGU
AZ,4,,4021,Pinal,11310611,Pinal,246,Salt River Project Agricultural Improvement & Power,Coolidge Generating Station,221112,Electricity Generation via Combustion,32.916,-111.5042,OP,2010,118549713,4744,Turbine,Combustion Turbine Electricity Generation - CT11,48,E6BTU/HR,OP,,,,A,R,NOX,Nitrogen Oxides,5.172,TON,2023EPA_EGU
IL,17,,17021,Christian,1929211,ILEPA,021814AAB,Kincaid Generation LLC,Kincaid Generation LLC,221112,Electricity Generation via Combustion,39.590599,-89.496613,OP,2008,41602913,8,Boiler,Boiler unit #1,6109,E6BTU/HR,OP,,,,A,R,NOX,Nitrogen Oxides,166.572,TON,2023EPA_EGU
IN,18,,18097,Marion,4885311,INDEM,34,Na,Citizens Thermal,221330,Electricity Generation via Combustion,39.7628,-86.1668,OP,2019,100805413,12,Boiler,Boiler #12,382,E6BTU/HR,OP,2013,,,A,R,NOX,Nitrogen Oxides,71.564,TON,2023EPA_EGU
TX,48,,48469,Victoria,18974111,TXCEQ,50,TRES CITY POWER LLC,VICTORIA CITY PEAKING FACILITY,221112,Electricity Generation via Combustion,28.785278,-97.009167,OP,2018,136703813,1,Turbine,COMBUSTION TURBINE,473,E6BTU/HR,OP,2019,,,A,R,NOX,Nitrogen Oxides,1.575,TON,2023EPA_EGU
TX,48,,48469,Victoria,6497211,TXCEQ,3,VICTORIA WLE LP,VICTORIA POWER STATION,221112,Electricity Generation via Combustion,28.7891,-97.0106,OP,2010,71675313,14,Turbine,VIC7 COMBINED CYCLE COMB. TURBINE (INCLDS FIRED HR,2350,E6BTU/HR,OP,2008,,,A,R,NOX,Nitrogen Oxides,60.463,TON,2023EPA_EGU
NY,36,,36037,Genesee,8462711,NYDEC,8180200045,SENECA POWER PARTNERS LP,BATAVIA POWER PLANT,221112,Electricity Generation via Combustion,42.982684,-78.159201,OP,2008,1616913,1CMBTN,Turbine,EMISSION UNIT,38,MW,OP,,,,A,R,NOX,Nitrogen Oxides,3.505,TON,2023EPA_EGU
OH,39,,39037,Darke,8257111,OHEPA,819070237,"Buckeye Power, Inc",Buckeye Power Greenville Station (0819070237),221112,Electricity Generation via Combustion,40.0756,-84.6156,OP,2000,36613,B007,Turbine,"269.71 mmBtu/hr natural gas/No. 2 oil, simple cycle combustion turbine with water injection nitr...",25,MW,OP,,,,A,R,NOX,Nitrogen Oxides,4.085,TON,2023EPA_EGU
OH,39,,39037,Darke,8257111,OHEPA,819070237,"Buckeye Power, Inc",Buckeye Power Greenville Station (0819070237),221112,Electricity Generation via Combustion,40.0756,-84.6156,OP,2000,36813,B002,Turbine,"269.71 mmBtu/hr natural gas/No. 2 oil, simple cycle combustion turbine with water injection nitr...",25,MW,OP,,,,A,R,NOX,Nitrogen Oxides,4.545,TON,2023EPA_EGU
ID,16,,16039,Elmore,8355111,IDDEQ,3900024,Idaho Power Company,IDAHO POWER CO - EVANDER ANDREWS COMPLEX,221112,Electricity Generation via Combustion,43.1794,-115.7328,OP,2022,418513,10,Turbine,W251B12A Gas Turbine,750,E6BTU/HR,OP,2021,,,A,R,NOX,Nitrogen Oxides,18.665,TON,2023EPA_EGU
MI,26,,26039,Crawford,4187811,MIDEQ,N2388,Grayling Generating Station LTD PTNR,GRAYLING GENERATING STATION LTD PTNR,221118,Electricity Generation via Combustion,44.605,-84.6903,OP,2020,35897313,EU0008,Boiler,"The electric generation group consists of the wood/bark boiler with the following equipment, gas bur",41,MW,OP,2020,,,A,R,NOX,Nitrogen Oxides,134.052,TON,2023EPA_EGU
TX,48,,48039,Brazoria,5632311,TXCEQ,135,SWEENY COGENERATION LP,SWEENY COGENERATION FACILITY,221330,Steam/Heating Facility,29.0724,-95.7455,OP,1996,21217913,14,Turbine,GAS TURBINE & H.R.S.G. 4,2070,E6BTU/HR,OP,2001,,,A,R,NOX,Nitrogen Oxides,90.313,TON,2023EPA_EGU
WI,55,,55039,Fond du Lac,6746711,WIDNR,420101660,Wisconsin Power & Light Company,WPL-SOUTH FOND DU LAC COMBUSTION TURBINE SITE,221112,Electricity Generation via Combustion,43.7353,-88.4968,OP,2023,13172013,B03,Turbine,ONE SIMPLE CYCLE COMBUSTION TURBINE  EI COMBUSTION TURBINE UNIT 3,1350,E6BTU/HR,OP,2021,,,A,R,NOX,Nitrogen Oxides,3.331,TON,2023EPA_EGU
CO,8,,8041,El Paso,4385111,CODPHE,CO0000000804100897,Fountain Valley Power LLC,FOUNTAIN VALLEY POWER - BOCA RATON,221112,Electricity Generation via Combustion,38.5569,-104.6875,OP,2008,36325313,041-0897-001,Turbine,TURBINE #1,336,E6BTU/HR,OP,,,,A,R,NOX,Nitrogen Oxides,6.922,TON,2023EPA_EGU
CO,8,,8041,El Paso,4385111,CODPHE,CO0000000804100897,Fountain Valley Power LLC,FOUNTAIN VALLEY POWER - BOCA RATON,221112,Electricity Generation via Combustion,38.5569,-104.6875,OP,2008,68597613,041-0897-005,Turbine,TURBINE #5,336,E6BTU/HR,OP,,,,A,R,NOX,Nitrogen Oxides,7.121,TON,2023EPA_EGU
KY,21,,21041,Carroll,5198511,KYDAQ,2104100010,Kentucky Utilities Company,KY Utilities Co - Ghent Station,221121,Electricity Generation via Combustion,38.7497,-85.035,OP,2008,25720413,3,Boiler,"Unit 3 Boiler (EU 03) Dry Bottom, Wall-Fired Boil",5500,E6BTU/HR,OP,,,,A,R,NOX,Nitrogen Oxides,2199.289,TON,2023EPA_EGU
KY,21,,21041,Carroll,5198511,KYDAQ,2104100010,Kentucky Utilities Company,KY Utilities Co - Ghent Station,221121,Electricity Generation via Combustion,38.7497,-85.035,OP,2008,25720813,4,Boiler,"Unit 4 Boiler (EU 04) Dry Bottom, Wall-Fired Cap",5500,E6BTU/HR,OP,,,,A,R,NOX,Nitrogen Oxides,700.995,TON,2023EPA_EGU
NM,35,,35045,San Juan,13646111,NMED,3535,Farmington Electric Utility Systems,Bluffview Power Plant,221112,Electricity Generation via Combustion,36.714333,-108.214444,OP,2003,157585613,EQPT10,Turbine,Turbine - Combustion Turbine Generator,338,E6BTU/HR,OP,2023,,,A,R,NOX,Nitrogen Oxides,81.787,TON,2023EPA_EGU
CO,8,,8123,Weld,3551511,CODPHE,CO0000000812300023,Public Service Company Of Colorado,PUBLIC SERVICE CO - FORT SAINT VRAIN PLT,221112,Electricity Generation via Combustion,40.2461,-104.8742,OP,2008,36793013,123-0023-005,Turbine,COMBUSTION TURBINE T003,1823,E6BTU/HR,OP,,,,A,R,NOX,Nitrogen Oxides,138.637,TON,2023EPA_EGU
MI,26,,26115,Monroe,7888311,MIDEQ,B2816,DTE Electric Company,DTE Electric Company - Monroe Power Plant,221112,Electricity Generation via Combustion,41.8887,-83.3437,OP,2020,3285413,EU0062,Boiler,Unit No. 1,7620,E6BTU/HR,OP,2020,,,A,R,NOX,Nitrogen Oxides,752.313,TON,2023EPA_EGU
WI,55,,55131,Washington,5235111,WIDNR,267006190,Wisconsin Electric Power Company,WISCONSIN ELECTRIC POWER COMPANY D/B/A WE ENERGIES-GERMANTOWN STATION,221112,Electricity Generation via Combustion,43.1956,-88.1498,OP,2023,25374313,P37,Turbine,COMBUSTION TURBINE GENERATOR  EI: TURBINE GENERATOR,632,E6BTU/HR,OP,2012,,,A,R,NOX,Nitrogen Oxides,3.803,TON,2023EPA_EGU
WI,55,,55131,Washington,5235111,WIDNR,267006190,Wisconsin Electric Power Company,WISCONSIN ELECTRIC POWER COMPANY D/B/A WE ENERGIES-GERMANTOWN STATION,221112,Electricity Generation via Combustion,43.1956,-88.1498,OP,2023,25374613,P33,Turbine,COMBUSTION TURBINE GENERATOR  EI: TURBINE GENERATOR,632,E6BTU/HR,OP,2012,,,A,R,NOX,Nitrogen Oxides,2.49,TON,2023EPA_EGU
OK,40,,40133,Seminole,8007311,OKDEQ,1210,OG AND E,SEMINOLE GENERATING STATION,221112,Electricity Generation via Combustion,34.96644,-96.72577,OP,2008,5014013,9951,Boiler,Electric Power Generation Boiler - Unit NO 3,5500,E6BTU/HR,OP,2002,,,A,R,NOX,Nitrogen Oxides,603.311,TON,2023EPA_EGU
CA,6,,6071,San Bernardino,13908211,CARB,3605181849,HIGH DESERT POWER PROJECT,HIGH DESERT POWER PROJECT,221112,Electricity Generation via Combustion,34.5953,-117.3647,OP,,85487713,2,Turbine,UNIT 2 COMB. TURBINE W/DUCT BURNER,190,MW,OP,,,,A,R,NOX,Nitrogen Oxides,33.535,TON,2023EPA_EGU
FL,12,,12105,Polk,751911,FLDEP,1050233,Tampa Electric Company,TAMPA ELECTRIC COMPANY-POLK,221112,Electricity Generation via Combustion,27.727015,-81.989774,OP,2008,111793813,21,Turbine,Unit 3H Nominal 165 MW Combustion Turbine w/ Duct-fired HRSG,1950,E6BTU/HR,OP,2014,,,A,R,NOX,Nitrogen Oxides,38.687,TON,2023EPA_EGU
FL,12,,12105,Polk,552011,FLDEP,1050234,Progress Energy Florida,"DUKE ENERGY FLORIDA, LLC",221112,Electricity Generation via Combustion,27.78869,-81.871226,OP,2008,67213913,19,Turbine,"Power Block 4, CT 4B",2010,E6BTU/HR,OP,2008,,,A,R,NOX,Nitrogen Oxides,45.383,TON,2023EPA_EGU
FL,12,,12105,Polk,643111,FLDEP,1050004,Lakeland Electric,"C.D. MCINTOSH, JR. POWER PLANT",221112,Electricity Generation via Combustion,28.0816,-81.9253,OP,2018,138587313,34,Turbine,Gas Turbine Peaking Unit 2,1780,E6BTU/HR,OP,,,,A,R,NOX,Nitrogen Oxides,13.075,TON,2023EPA_EGU
WI,55,,55025,Dane,9018111,WIDNR,113151500,,MG&E WEST CAMPUS COGENERATION FTY,221112,Electricity Generation via Combustion,43.075,-89.4243,OP,2023,54743013,P02,Combined Cycle (Boiler/Gas Turbine),COMBUSTION TURBINE GENERATOR,733,E6BTU/HR,OP,2017,,,A,R,NOX,Nitrogen Oxides,10.418,TON,2023EPA_EGU
FL,12,,12005,Bay,554911,FLDEP,50014,Gulf Power Company,FLORIDA POWER &  LIGHT COMPANY,221112,Electricity Generation via Combustion,30.268389,-85.699944,OP,2008,48230613,5,Turbine,UNIT 5:  170 MW CT2 with HRSG and duct burner,2350,E6BTU/HR,OP,2008,,,A,R,NOX,Nitrogen Oxides,208.102,TON,2023EPA_EGU
MI,26,,26077,Kalamazoo,5620911,MIDEQ,N6731,CMS Generation Michigan Power L.L.C.,CMS Generation Kalamazoo River Generating Station,221112,Electricity Generation via Combustion,42.280498,-85.492956,OP,2020,19998413,EU0002,Turbine,GE Frame 7E Combustion Turbine nominally rated at 86 MW.  The listed heat input design capacity is b,1200,E6BTU/HR,OP,2020,,,A,R,NOX,Nitrogen Oxides,51.978,TON,2023EPA_EGU
NM,35,,35013,Dona Ana,7581811,NMED,122,El Paso Electric Company,Rio Grande Generating Station,221112,Electricity Generation via Combustion,31.8047,-106.5472,OP,2001,82571913,EQPT2,Boiler,Boiler - Babcock & Wilcox Boiler#7,590,E6BTU/HR,OP,2023,,,A,R,NOX,Nitrogen Oxides,52.307,TON,2023EPA_EGU
IL,17,,17103,Lee,10824211,ILEPA,103814AAC,,Invenergy Nelson LLC,221112,Electricity Generation via Combustion,41.77466,-89.606565,OP,2012,105888113,2,Turbine,Turbine CT-2 - 2166 mmBTU/hr,2516,E6BTU/HR,OP,2012,,,A,R,NOX,Nitrogen Oxides,80.807,TON,2023EPA_EGU
CA,6,,6065,Riverside,10115711,CARB,3.31526E+11,"WILDFLOWER ENERGY LP/INDIGOGEN., LLC","WILDFLOWER ENERGY LP/INDIGOGEN., LLC",221112,Electricity Generation via Combustion,33.910252,-116.553105,OP,2008,119847113,10,Turbine,"GAS TURBINE, UNIT 400",504,E6BTU/HR,OP,,,,A,R,NOX,Nitrogen Oxides,0.999,TON,2023EPA_EGU
CA,6,,6065,Riverside,13908711,CARB,3305182262,BLYTHE ENERGY INC,"BLYTHE ENERGY, INC.",221112,Electricity Generation via Combustion,33.6158,-114.6864,OP,,85674413,27954,Turbine,CT 12/DB 12,1900,E6BTU/HR,OP,,,,A,R,NOX,Nitrogen Oxides,36.168,TON,2023EPA_EGU
OH,39,,39143,Sandusky,15483111,OHEPA,372030241,,AMP Fremont Energy Center (0372030241),221112,Electricity Generation via Combustion,41.3771,-83.1615,OP,2000,96948313,P002,Turbine,Combined Cycle Turbine & Duct Burner,2810,E6BTU/HR,OP,,,,A,R,NOX,Nitrogen Oxides,57.719,TON,2023EPA_EGU
IN,18,,18153,Sullivan,8396211,INDEM,5,Na,HOOSIER ENERGY REC  INC    MEROM GENERA,221112,Electricity Generation via Combustion,39.0694,-87.5108,OP,2020,1479713,1,Boiler,UNIT 1,5800,E6BTU/HR,OP,2020,,,A,R,NOX,Nitrogen Oxides,711.958,TON,2023EPA_EGU
TX,48,,48157,Fort Bend,3968411,TXCEQ,5,NRG TEXAS POWER LLC,WA PARISH ELECTRIC GENERATING STATION,221112,Electricity Generation via Combustion,29.478295,-95.635775,OP,1979,34521913,5,Boiler,UNIT 4 BOILER,2000,E6BTU/HR,OP,1981,,,A,R,NOX,Nitrogen Oxides,513.774,TON,2023EPA_EGU
KY,21,,21161,Mason,7335511,KYDAQ,2116100009,,East KY Power Coop - Spurlock Station,221112,Electricity Generation via Combustion,38.700049,-83.817613,OP,2008,86759113,EU17,Boiler,"2800 mmbtu/hr coal fired group one boiler, Circula",2800,E6BTU/HR,OP,,,,A,R,NOX,Nitrogen Oxides,500.744,TON,2023EPA_EGU
TN,47,,47161,Stewart,4979311,TNDEC,81-0011,TVA CUMBERLAND FOSSIL PLANT,TVA CUMBERLAND FOSSIL PLANT,221112,Electricity Generation via Combustion,36.3903,-87.6539,OP,2008,30040513,1,Boiler,BOILER 1,14100,E6BTU/HR,OP,,,,A,R,NOX,Nitrogen Oxides,1573.387,TON,2023EPA_EGU
TN,47,,47161,Stewart,4979311,TNDEC,81-0011,TVA CUMBERLAND FOSSIL PLANT,TVA CUMBERLAND FOSSIL PLANT,221112,Electricity Generation via Combustion,36.3903,-87.6539,OP,2008,30040713,2,Boiler,BOILER 2,14100,E6BTU/HR,OP,,,,A,R,NOX,Nitrogen Oxides,1903.614,TON,2023EPA_EGU
OK,40,,40101,Muskogee,8506011,OKDEQ,1209,OG AND E,MUSKOGEE GENERATING STATION,221112,Electricity Generation via Combustion,35.76054,-95.28731,OP,2008,535313,9946,Boiler,Electric Power Generation Boiler - Unit NO 6 Combustion Engineering AA-B0001,5480,E6BTU/HR,OP,2002,,,A,R,NOX,Nitrogen Oxides,1199.732,TON,2023EPA_EGU
