plant_code,plant_name,state,county,unit,EIA,EIA_proposed,NEEDS,CAPD,NESHAP
3,Barry,Alabama,Mobile,1,TRUE,FALSE,TRUE,TRUE,FALSE
3,Barry,Alabama,Mobile,2,TRUE,FALSE,TRUE,TRUE,FALSE
47,Colbert,Alabama,Colbert,1,TRUE,FALSE,FALSE,TRUE,FALSE
47,Colbert,Alabama,Colbert,2,TRUE,FALSE,FALSE,TRUE,FALSE
47,Colbert,Alabama,Colbert,3,TRUE,FALSE,FALSE,TRUE,FALSE
56,Lowman Energy Center,Alabama,Washington,1,TRUE,FALSE,TRUE,TRUE,FALSE
56,Lowman Energy Center,Alabama,Washington,2,TRUE,FALSE,TRUE,TRUE,FALSE
116,Ocotillo,Arizona,Maricopa,1,TRUE,FALSE,TRUE,TRUE,FALSE
116,Ocotillo,Arizona,Maricopa,2,TRUE,FALSE,TRUE,TRUE,FALSE
116,Ocotillo,Arizona,Maricopa,3,TRUE,FALSE,TRUE,TRUE,FALSE
116,Ocotillo,Arizona,Maricopa,4,TRUE,FALSE,TRUE,TRUE,FALSE
116,Ocotillo,Arizona,Maricopa,5,TRUE,FALSE,TRUE,TRUE,FALSE
136,Seminole (FL),Florida,Putnam,1,TRUE,FALSE,TRUE,TRUE,FALSE
136,Seminole (FL),Florida,Putnam,2,TRUE,FALSE,TRUE,TRUE,FALSE
136,Seminole (FL),Florida,Putnam,3,TRUE,FALSE,TRUE,TRUE,FALSE
141,Agua Fria,Arizona,Maricopa,1,TRUE,FALSE,TRUE,TRUE,FALSE
141,Agua Fria,Arizona,Maricopa,2,TRUE,FALSE,TRUE,TRUE,FALSE
160,Apache Station,Arizona,Cochise,1,FALSE,TRUE,FALSE,FALSE,FALSE
160,Apache Station,Arizona,Cochise,2,FALSE,TRUE,FALSE,FALSE,FALSE
165,GREC,Oklahoma,Mayes,1,FALSE,TRUE,FALSE,FALSE,FALSE
315,AES Alamitos,California,Los Angeles,1,FALSE,FALSE,FALSE,TRUE,FALSE
315,AES Alamitos,California,Los Angeles,2,FALSE,FALSE,FALSE,TRUE,FALSE
315,AES Alamitos,California,Los Angeles,3,FALSE,FALSE,FALSE,TRUE,FALSE
335,AES Huntington Beach,California,Orange,1,FALSE,FALSE,FALSE,TRUE,FALSE
335,AES Huntington Beach,California,Orange,2,FALSE,FALSE,FALSE,TRUE,FALSE
335,AES Huntington Beach,California,Orange,3,FALSE,FALSE,FALSE,TRUE,FALSE
492,South Plant,Colorado,El Paso,1,TRUE,FALSE,TRUE,TRUE,FALSE
492,South Plant,Colorado,El Paso,2,TRUE,FALSE,TRUE,TRUE,FALSE
492,South Plant,Colorado,El Paso,3,TRUE,FALSE,TRUE,TRUE,FALSE
492,South Plant,Colorado,El Paso,4,TRUE,FALSE,TRUE,TRUE,FALSE
492,South Plant,Colorado,El Paso,5,TRUE,FALSE,TRUE,TRUE,FALSE
492,South Plant,Colorado,El Paso,6,TRUE,FALSE,TRUE,TRUE,FALSE
568,Bridgeport Station,Connecticut,Fairfield,1,TRUE,FALSE,TRUE,TRUE,TRUE
568,Bridgeport Station,Connecticut,Fairfield,2,TRUE,FALSE,TRUE,TRUE,FALSE
613,Lauderdale,Florida,Broward,1,FALSE,FALSE,FALSE,TRUE,FALSE
613,Lauderdale,Florida,Broward,2,FALSE,FALSE,FALSE,TRUE,FALSE
613,Lauderdale,Florida,Broward,3,FALSE,FALSE,FALSE,TRUE,FALSE
641,Gulf Clean Energy Center,Florida,Escambia,1,TRUE,FALSE,TRUE,TRUE,FALSE
641,Gulf Clean Energy Center,Florida,Escambia,2,TRUE,FALSE,TRUE,TRUE,FALSE
641,Gulf Clean Energy Center,Florida,Escambia,3,TRUE,FALSE,TRUE,TRUE,FALSE
641,Gulf Clean Energy Center,Florida,Escambia,4,TRUE,FALSE,TRUE,TRUE,FALSE
645,Big Bend,Florida,Hillsborough,1,TRUE,FALSE,TRUE,TRUE,FALSE
645,Big Bend,Florida,Hillsborough,2,TRUE,FALSE,TRUE,TRUE,FALSE
645,Big Bend,Florida,Hillsborough,3,FALSE,FALSE,FALSE,TRUE,FALSE
664,John R Kelly,Florida,Alachua,1,TRUE,FALSE,TRUE,FALSE,FALSE
676,C D McIntosh Jr,Florida,Polk,1,TRUE,FALSE,TRUE,TRUE,FALSE
728,Yates,Georgia,Coweta,1,FALSE,TRUE,FALSE,FALSE,FALSE
728,Yates,Georgia,Coweta,2,FALSE,TRUE,FALSE,FALSE,FALSE
728,Yates,Georgia,Coweta,3,FALSE,TRUE,FALSE,FALSE,FALSE
753,Crisp Plant,Georgia,Worth,1,TRUE,FALSE,FALSE,FALSE,FALSE
1024,Crawfordsville Power Plant,Indiana,Montgomery,1,FALSE,TRUE,FALSE,FALSE,FALSE
1378,Paradise,Kentucky,Muhlenberg,1,TRUE,FALSE,FALSE,FALSE,FALSE
1378,Paradise,Kentucky,Muhlenberg,2,TRUE,FALSE,FALSE,FALSE,FALSE
1378,Paradise,Kentucky,Muhlenberg,3,TRUE,FALSE,FALSE,FALSE,FALSE
1599,Canal,Massachusetts,Barnstable,1,TRUE,FALSE,TRUE,TRUE,FALSE
1615,Nantucket Hybrid,Massachusetts,Nantucket,1,TRUE,FALSE,TRUE,FALSE,FALSE
