mismatch_SCR,mismatch_date,plant_code,plant_name,generator_id,prime_mover,nameplate_capacity_mw_EIA,nameplate_capacity_mw_CAPD,nameplate_capacity_mw_NESHAP,capacity_factor_percent,has_SCR_EIA,has_SCR_NEEDS,has_SCR_CAPD,has_SCR_NESHAP,operating_year_EIA,operating_year_CAPD,permit_construction_date
TRUE,TRUE,56350,Colorado Bend Energy Center,CT-4A (46),GT,37,46,NA,0.6,NA,FALSE,TRUE,NA,2023,2022,NA
TRUE,TRUE,63259,Delta Energy Park,"DEPC2 (58), DEPST (89.2)",GT,58,102.6,NA,46.2,NA,FALSE,TRUE,NA,2022,2021,NA
TRUE,TRUE,62115,AES Alamitos Energy Center,"1A (231.4), 1S (241.1)",CT/CA,339,351.95,NA,48.5,FALSE,TRUE,TRUE,NA,2020,2019,NA
TRUE,TRUE,62115,AES Alamitos Energy Center,"1S (241.1), 1B (231.4)",CT/CA,339,351.95,NA,46.6,FALSE,TRUE,TRUE,NA,2020,2019,NA
TRUE,TRUE,62116,AES Huntington Beach Energy Project,"1A (231.4), 1S (241.1)",CT/CA,349.6,351.95,NA,51.5,FALSE,TRUE,TRUE,NA,2020,2019,NA
TRUE,TRUE,62116,AES Huntington Beach Energy Project,"1B (231.4), 1S (241.1)",CT/CA,349.6,351.95,NA,51.3,FALSE,TRUE,TRUE,NA,2020,2019,NA
TRUE,TRUE,64020,West Riverside Energy Center,"CTG4 (232.9), STG2 (260.1)",CT/CA,361.6,362.95,NA,66.9,FALSE,TRUE,TRUE,NA,2020,2019,NA
TRUE,TRUE,64020,West Riverside Energy Center,"STG2 (260.1), CTG3 (232.9)",CT/CA,361.6,362.95,NA,61.5,FALSE,TRUE,TRUE,NA,2020,2019,NA
TRUE,TRUE,6061,R D Morrow,"CTG (402), STG (155)",CT/CA,558,557,NA,51.8,FALSE,NA,TRUE,NA,2023,2022,NA
TRUE,TRUE,136,Seminole (FL),"CT1 (384.2), ST (414.8)",CT/CA,591.6,591.6,NA,58.7,TRUE,FALSE,TRUE,NA,2023,2022,NA
TRUE,TRUE,136,Seminole (FL),"ST (414.8), CT2 (384.2)",CT/CA,591.6,591.6,NA,58.8,TRUE,FALSE,TRUE,NA,2023,2022,NA
TRUE,TRUE,645,Big Bend,"BBST1 (445.5), GT6 (392)",CT/CA,620.55,614.75,370,60.5,FALSE,TRUE,TRUE,TRUE,2021,2021,2019
TRUE,TRUE,645,Big Bend,"GT5 (392), BBST1 (445.5)",CT/CA,620.55,614.75,370,58.4,FALSE,TRUE,TRUE,TRUE,2021,2021,2019
TRUE,TRUE,62192,Blue Water Energy Center,"11 (394.4), 1S (478.6)",CT/CA,633.7,633.7,NA,65.6,FALSE,TRUE,TRUE,NA,2022,2021,NA
TRUE,TRUE,62192,Blue Water Energy Center,"1S (478.6), 12 (394.4)",CT/CA,633.7,633.7,NA,65.9,FALSE,TRUE,TRUE,NA,2022,2021,NA
TRUE,TRUE,62949,Guernsey Power Station,GPS1 (652.8),CS,685,652.8,NA,50.2,TRUE,FALSE,TRUE,NA,2023,2022,NA
TRUE,TRUE,62949,Guernsey Power Station,GPS2 (652.8),CS,685,652.8,NA,44.6,TRUE,FALSE,TRUE,NA,2023,2022,NA
TRUE,TRUE,62949,Guernsey Power Station,GPS3 (652.8),CS,685,652.8,NA,42.9,TRUE,FALSE,TRUE,NA,2023,2022,NA
TRUE,TRUE,63259,Delta Energy Park,DEPS1 (58),CT/CA,NA,58,NA,9.5,NA,TRUE,FALSE,NA,2022,2021,NA
TRUE,FALSE,56298,Roseville Energy Park,0004 (30),GT,30,30,NA,0.5,NA,FALSE,TRUE,NA,2022,2022,NA
TRUE,FALSE,56298,Roseville Energy Park,0005 (30),GT,30,30,NA,0.4,NA,FALSE,TRUE,NA,2022,2022,NA
TRUE,FALSE,50410,Chester Operations,6,CT/CA,34.6,NA,NA,NA,TRUE,FALSE,NA,NA,2020,NA,NA
TRUE,FALSE,50410,Chester Operations,7,CT/CA,34.6,NA,NA,NA,TRUE,FALSE,NA,NA,2020,NA,NA
TRUE,FALSE,56350,Colorado Bend Energy Center,CT-4B (46),GT,37,46,NA,0.7,NA,FALSE,TRUE,NA,2023,2023,NA
TRUE,FALSE,50431,University of Michigan,CT6,CT/CA,41.38,NA,15.8,NA,FALSE,FALSE,NA,TRUE,2022,NA,2022
TRUE,FALSE,141,Agua Fria,AF7 (49.5),GT,49.5,49.5,NA,2,NA,FALSE,TRUE,NA,2022,2022,NA
TRUE,FALSE,141,Agua Fria,AF8 (49.5),GT,49.5,49.5,NA,2.3,NA,FALSE,TRUE,NA,2022,2022,NA
TRUE,FALSE,55129,Desert Basin,DBSGT4 (49.5),GT,49.5,49.5,NA,2.3,NA,FALSE,TRUE,NA,2022,2022,NA
TRUE,FALSE,55129,Desert Basin,DBSGT5 (49.5),GT,49.5,49.5,NA,2.5,NA,FALSE,TRUE,NA,2022,2022,NA
TRUE,FALSE,64383,Braes Bayou Plant,CTG-7 (60.5),GT,60.5,60.5,NA,9.1,NA,FALSE,TRUE,NA,2022,2022,NA
TRUE,FALSE,64383,Braes Bayou Plant,CTG-8 (60.5),GT,60.5,60.5,NA,9.6,NA,FALSE,TRUE,NA,2022,2022,NA
TRUE,FALSE,65372,Mark One Power Station,CTG-1 (60.5),GT,60.5,60.5,NA,4.5,NA,FALSE,TRUE,NA,2022,2022,NA
TRUE,FALSE,65372,Mark One Power Station,CTG-2 (60.5),GT,60.5,60.5,NA,5.4,NA,FALSE,TRUE,NA,2022,2022,NA
TRUE,FALSE,65372,Mark One Power Station,CTG-3 (60.5),GT,60.5,60.5,NA,4.9,NA,FALSE,TRUE,NA,2022,2022,NA
