sector_name,is_CHP,state,county,plant_name,plant_code,unit_id,generator_id,prime_mover,nameplate_capacity_mw_EIA,nameplate_capacity_mw_CAPD,nameplate_capacity_mw_NESHAP,capacity_factor_percent,has_SCR_EIA,has_SCR_NEEDS,has_SCR_CAPD,has_SCR_NESHAP,energy_source_1,energy_source_2,energy_source_3,energy_source_4,energy_source_5,energy_source_6,is_multifuel_EIA,is_multifuel_NESHAP,is_fuel_switching,is_cofire,operating_year_EIA,operating_year_CAPD,permit_construction_date,turbine_make,turbine_model,emission_unit_description,x_coordinate,y_coordinate
Electric Utility,FALSE,Alabama,Mobile,Barry,3,G523,"A3C1 (457), A3ST (305.1)",CT/CA,774,762.1,727,4.2,FALSE,TRUE,TRUE,TRUE,NG,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,2023,2023,2023,Mitsubishi,M501JAC,Unit 8,-88.0103,31.0069
Electric Utility,FALSE,Alabama,Colbert,Colbert,47,GT10,CCT10 (210),GT,231.2,210,NA,0.7,NA,NA,FALSE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,2023,2023,NA,NA,NA,NA,-87.8486,34.7439
Electric Utility,FALSE,Alabama,Colbert,Colbert,47,GT11,CCT11 (210),GT,231.2,210,NA,0.8,NA,NA,FALSE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,2023,2023,NA,NA,NA,NA,-87.8486,34.7439
Electric Utility,FALSE,Alabama,Colbert,Colbert,47,GT9,CCT9 (210),GT,231.2,210,NA,0.8,NA,NA,FALSE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,2023,2023,NA,NA,NA,NA,-87.8486,34.7439
Electric Utility,FALSE,Alabama,Washington,Lowman Energy Center,56,LECC,"LEC1 (454.5), LEC2 (272.2)",CT/CA,732.7,726.7,NA,27.6,TRUE,FALSE,TRUE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,2023,2023,NA,NA,NA,NA,-87.910747,31.488019
Electric Utility,FALSE,Arizona,Maricopa,Ocotillo,116,GT3,GT3 (102),GT,104,102,NA,7.7,NA,TRUE,TRUE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,2019,2019,NA,NA,NA,NA,-111.9122,33.4225
Electric Utility,FALSE,Arizona,Maricopa,Ocotillo,116,GT4,GT4 (102),GT,104,102,NA,18,NA,TRUE,TRUE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,2019,2019,NA,NA,NA,NA,-111.9122,33.4225
Electric Utility,FALSE,Arizona,Maricopa,Ocotillo,116,GT5,GT5 (102),GT,104,102,NA,16.6,NA,TRUE,TRUE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,2019,2019,NA,NA,NA,NA,-111.9122,33.4225
Electric Utility,FALSE,Arizona,Maricopa,Ocotillo,116,GT6,GT6 (102),GT,104,102,NA,20.7,NA,TRUE,TRUE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,2019,2019,NA,NA,NA,NA,-111.9122,33.4225
Electric Utility,FALSE,Arizona,Maricopa,Ocotillo,116,GT7,GT7 (102),GT,104,102,NA,1.9,NA,TRUE,TRUE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,2019,2019,NA,NA,NA,NA,-111.9122,33.4225
Electric Utility,FALSE,Florida,Putnam,Seminole (FL),136,SCCF,"CT1 (384.2), ST (414.8)",CT/CA,591.6,591.6,NA,58.7,TRUE,FALSE,TRUE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2023,2022,NA,NA,NA,NA,-81.632778,29.733056
Electric Utility,FALSE,Florida,Putnam,Seminole (FL),136,SCCF,"ST (414.8), CT2 (384.2)",CT/CA,591.6,591.6,NA,58.8,TRUE,FALSE,TRUE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2023,2022,NA,NA,NA,NA,-81.632778,29.733056
Electric Utility,FALSE,Arizona,Maricopa,Agua Fria,141,AF7,AF7 (49.5),GT,49.5,49.5,NA,2,NA,FALSE,TRUE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,2022,2022,NA,NA,NA,NA,-112.2153,33.5561
Electric Utility,FALSE,Arizona,Maricopa,Agua Fria,141,AF8,AF8 (49.5),GT,49.5,49.5,NA,2.3,NA,FALSE,TRUE,NA,NG,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,2022,2022,NA,NA,NA,NA,-112.2153,33.5561
Electric Utility,FALSE,Colorado,El Paso,South Plant,492,A1,A2 (40.63),GT,40.9,40.63,NA,9.8,NA,FALSE,FALSE,NA,NG,DFO,NA,NA,NA,NA,TRUE,NA,TRUE,FALSE,2023,2023,NA,NA,NA,NA,-104.833333,38.824444
Electric Utility,FALSE,Colorado,El Paso,South Plant,492,A2,A3 (40.63),GT,40.9,40.63,NA,7.8,NA,FALSE,FALSE,NA,NG,DFO,NA,NA,NA,NA,TRUE,NA,TRUE,FALSE,2023,2023,NA,NA,NA,NA,-104.833333,38.824444
Electric Utility,FALSE,Colorado,El Paso,South Plant,492,A3,A4 (40.63),GT,40.9,40.63,NA,9.6,NA,FALSE,FALSE,NA,NG,DFO,NA,NA,NA,NA,TRUE,NA,TRUE,FALSE,2023,2023,NA,NA,NA,NA,-104.833333,38.824444
Electric Utility,FALSE,Colorado,El Paso,South Plant,492,A4,A5 (40.63),GT,40.9,40.63,NA,8.9,NA,FALSE,FALSE,NA,NG,DFO,NA,NA,NA,NA,TRUE,NA,TRUE,FALSE,2023,2023,NA,NA,NA,NA,-104.833333,38.824444
Electric Utility,FALSE,Colorado,El Paso,South Plant,492,A5,A6 (40.63),GT,40.9,40.63,NA,8.4,NA,FALSE,FALSE,NA,NG,DFO,NA,NA,NA,NA,TRUE,NA,TRUE,FALSE,2023,2023,NA,NA,NA,NA,-104.833333,38.824444
Electric Utility,FALSE,Colorado,El Paso,South Plant,492,A6,A1 (40.63),GT,40.6,40.63,NA,8.8,NA,FALSE,FALSE,NA,NG,DFO,NA,NA,NA,NA,TRUE,NA,TRUE,FALSE,2023,2023,NA,NA,NA,NA,-104.833333,38.824444
IPP Non-CHP,FALSE,Connecticut,Fairfield,Bridgeport Station,568,CC1,"501 (375), 502 (200.6)",CT/CA,576.3,575.6,337.68,60.7,TRUE,TRUE,TRUE,TRUE,NG,DFO,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,2019,2019,2019,GE,7HA.02,GE 7HA.02 Combined cycle turbine and duct burner,-73.1844,41.1706
