grouping,pulled_from_neshap,pulled_from_proposed,is_direct_mechanical,entity,Utility ID,Utility Name,Plant Code,Plant Name,State,County,X_COORDINATE,Y_COORDINATE,Generator ID,Turbine Make,Turbine Model,Permit Emission Controls,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Status,Associated with Combined Heat and Power System,Sector Name,Sector,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Turbines or Hydrokinetic Buoys,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Solid Fuel Gasification System?,Carbon Capture Technology?,Multiple Fuels?,Switch Between Oil and Natural Gas?,Cofire Fuels?,Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Synchronized to Transmission Grid,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Topping or Bottoming,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Time from Cold Shutdown to Full Load,Planned Net Summer Capacity Uprate (MW),Planned Net Winter Capacity Uprate (MW),Planned Uprate Month,Planned Uprate Year,Planned Net Summer Capacity Derate (MW),Planned Net Winter Capacity Derate (MW),Planned Derate Month,Planned Derate Year,Planned New Prime Mover,Planned Energy Source 1,Planned New Nameplate Capacity (MW),Planned Repower Month,Planned Repower Year,Other Planned Modifications?,Other Modifications Month,Other Modifications Year
Other,FALSE,TRUE,FALSE,Independent Power Producer,60018,"NET Power, LLC",60910,NET Power La Porte Station,TX,Harris,-95.0539727320229,29.6479021629887,NPLPS,,,,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,25.5,,5,5,OT,N,IPP Non-CHP,2,NG,,,,,,0,,,,,,,,N,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,FALSE,FALSE,FALSE,Industrial,61964,Kimberly Clark - Mobile Alabama,62449,Kimberly Clark Mobile - CHP Plant,AL,Mobile,-88.0501012965518,30.7374098147494,GT100,,,,Natural Gas Fired Combustion Turbine,GT,KCMO,S,X,X,,,25,0.95,21.8,23,OP,Y,Industrial CHP,7,NG,,,,,,,,,,,,,,N,N,N,,,11,N,,,X,4,2019,,,T,,,,,1H,,,,,,,,,,,,,,,,
Other,FALSE,FALSE,FALSE,Industrial,61964,Kimberly Clark - Mobile Alabama,62449,Kimberly Clark Mobile - CHP Plant,AL,Mobile,-88.0501012965518,30.7374098147494,GT200,,,,Natural Gas Fired Combustion Turbine,GT,KCMO,S,X,X,,,25,0.95,21.8,23,OP,Y,Industrial CHP,7,NG,,,,,,0,,,,,,,,N,N,N,,,11,N,,,X,4,2019,,,T,,,,,1H,,,,,,,,,,,,,,,,
Electric Utility,FALSE,FALSE,FALSE,Invester-owned utility,803,Arizona Public Service Co,116,Ocotillo,AZ,Maricopa,-111.91230626073,33.4233149825198,GT3,,,,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,140,0.85,104.7,105.8,OP,N,Electric Utility,1,NG,,,,,,,,,,,,,,N,,N,,,45,N,,,X,4,2019,,,X,,,,,10M,,,,,,,,,,,,,,,,
Electric Utility,FALSE,FALSE,FALSE,Invester-owned utility,803,Arizona Public Service Co,116,Ocotillo,AZ,Maricopa,-111.91230626073,33.4233149825198,GT4,,,,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,140,0.85,104.7,105.8,OP,N,Electric Utility,1,NG,,,,,,,,,,,,,,N,,N,,,45,N,,,X,4,2019,,,X,,,,,10M,,,,,,,,,,,,,,,,
Electric Utility,FALSE,FALSE,FALSE,Invester-owned utility,803,Arizona Public Service Co,116,Ocotillo,AZ,Maricopa,-111.91230626073,33.4233149825198,GT5,,,,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,140,0.85,104.7,105.8,OP,N,Electric Utility,1,NG,,,,,,,,,,,,,,,,N,,,45,N,,,X,5,2019,,,X,,,,,10M,,,,,,,,,,,,,,,,
Electric Utility,FALSE,FALSE,FALSE,Invester-owned utility,803,Arizona Public Service Co,116,Ocotillo,AZ,Maricopa,-111.91230626073,33.4233149825198,GT6,,,,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,140,0.85,104.7,105.8,OP,N,Electric Utility,1,NG,,,,,,,,,,,,,,,,N,,,45,N,,,X,4,2019,,,X,,,,,10M,,,,,,,,,,,,,,,,
Electric Utility,FALSE,FALSE,FALSE,Invester-owned utility,803,Arizona Public Service Co,116,Ocotillo,AZ,Maricopa,-111.91230626073,33.4233149825198,GT7,,,,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,140,0.85,104.7,105.8,OP,N,Electric Utility,1,NG,,,,,,,,,,,,,,,,N,,,45,N,,,X,4,2019,,,X,,,,,10M,,,,,,,,,,,,,,,,
Other,FALSE,FALSE,FALSE,State,58172,Energy Center Phoenix LLC,58199,Arizona State University CHP,AZ,Maricopa,-111.928388431894,33.4170725908916,G2,,,,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,7.9,0.8,7.9,7.9,OP,Y,Commercial CHP,5,NG,,,,,,0,,,,,,,,N,N,N,N,N,3.7,N,,,X,5,2019,,,T,,,,,1H,,,,,,,,,,,,,,,,
Electric Utility,FALSE,FALSE,FALSE,Political Subdivision,16572,Salt River Project,141,Agua Fria,AZ,Maricopa,-112.213768258871,33.5542923503261,AF7,,,,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,49.5,0.85,49.5,49.5,OP,N,Electric Utility,1,NG,,,,,,,,,,,,,,N,N,N,N,N,23,N,,,X,8,2022,,,X,,,,,10M,,,,,,,,,,,,,,N,,
Electric Utility,FALSE,FALSE,FALSE,Political Subdivision,16572,Salt River Project,141,Agua Fria,AZ,Maricopa,-112.213768258871,33.5542923503261,AF8,,,,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,49.5,0.85,49.5,49.5,OP,N,Electric Utility,1,NG,,,,,,,,,,,,,,N,N,N,N,N,23,N,,,X,8,2022,,,X,,,,,10M,,,,,,,,,,,,,,N,,
Electric Utility,FALSE,FALSE,FALSE,Political Subdivision,16572,Salt River Project,55129,Desert Basin,AZ,Pinal,-111.790234047257,32.9039030278603,CTG4,,,,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,49.5,0.85,43.4,47.7,OP,N,Electric Utility,1,NG,,,,,,,,,,,,,,N,N,N,,,22,N,,,X,9,2022,,,X,,,,,10M,,,,,,,,,,,,,,,,
Electric Utility,FALSE,FALSE,FALSE,Political Subdivision,16572,Salt River Project,55129,Desert Basin,AZ,Pinal,-111.790234047257,32.9039030278603,CTG5,,,,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,49.5,0.85,43.4,47.7,OP,N,Electric Utility,1,NG,,,,,,,,,,,,,,N,N,N,,,22,N,,,X,9,2022,,,X,,,,,10M,,,,,,,,,,,,,,,,
Other,FALSE,FALSE,FALSE,Independent Power Producer,61669,"AES Alamitos Energy, LLC",62115,AES Alamitos Energy Center,CA,Los Angeles,-118.101752745372,33.7693994657979,1S,,,,Natural Gas Fired Combined Cycle,CA,CCT1,J,N,X,ALMIT STG1S B1,ALMIT STG1S B1,216,0.85,215,216,OP,N,IPP Non-CHP,2,NG,,,,,,,,,,,,,,N,N,N,N,N,,N,,,X,2,2020,,,X,,,,,12H,,,,,,,,,,,,,,,,
Other,FALSE,FALSE,FALSE,Independent Power Producer,61669,"AES Alamitos Energy, LLC",62115,AES Alamitos Energy Center,CA,Los Angeles,-118.101752745372,33.7693994657979,1A,,,,Natural Gas Fired Combined Cycle,CT,CCT1,J,X,N,ALMIT CTG1A B1,ALMIT CTG1A B1,231,0.85,194,231,OP,N,IPP Non-CHP,2,NG,,,,,,,,,,,N,,,N,N,N,N,N,,N,,,X,2,2020,,,X,,,,,12H,,,,,,,,,,,,,,,,
Other,FALSE,FALSE,FALSE,Independent Power Producer,61669,"AES Alamitos Energy, LLC",62115,AES Alamitos Energy Center,CA,Los Angeles,-118.101752745372,33.7693994657979,1B,,,,Natural Gas Fired Combined Cycle,CT,CCT1,J,X,N,ALMIT CTG1B B1,ALMIT CTG1B B1,231,0.85,194,231,OP,N,IPP Non-CHP,2,NG,,,,,,,,,,,,,,,N,N,N,N,,N,,,X,2,2020,,,X,,,,,12H,,,,,,,,,,,,,,,,
Other,FALSE,FALSE,FALSE,Independent Power Producer,61670,"AES Huntington Beach Energy, LLC",62116,AES Huntington Beach Energy Project,CA,Orange,-117.979400731886,33.6458218516693,1S,,,,Natural Gas Fired Combined Cycle,CA,CCT1,J,N,X,HUNT STG 1S,HUNT STG 1S,237.2,0.85,220,236,OP,N,IPP Non-CHP,2,NG,,,,,,,,,,,,,,N,N,N,N,N,60,N,,,X,2,2020,,,X,,,,,12H,,,,,,,,,,,,,,,,
Other,FALSE,FALSE,FALSE,Independent Power Producer,61670,"AES Huntington Beach Energy, LLC",62116,AES Huntington Beach Energy Project,CA,Orange,-117.979400731886,33.6458218516693,1A,,,,Natural Gas Fired Combined Cycle,CT,CCT1,J,X,N,HUNT_CTG 1A,HUNT_CTG 1A,231,0.85,205,227,OP,N,IPP Non-CHP,2,NG,,,,,,,,,,,,,,N,N,N,N,N,80,N,,,X,2,2020,,,X,NG,,,,12H,,,,,,,,,,,,,,,,
Other,FALSE,FALSE,FALSE,Independent Power Producer,61670,"AES Huntington Beach Energy, LLC",62116,AES Huntington Beach Energy Project,CA,Orange,-117.979400731886,33.6458218516693,1B,,,,Natural Gas Fired Combined Cycle,CT,CCT1,J,X,N,HUNT CTG 1B,HUNT CTG 1B,231,0.85,205,227,OP,N,IPP Non-CHP,2,NG,,,,,,,,,,,,,,N,N,N,N,N,80,N,,,X,2,2020,,,X,,,,,12H,,,,,,,,,,,,,,,,
Other,FALSE,FALSE,FALSE,Independent Power Producer,20323,"Wellhead Services, Inc",60698,Stanton Energy Reliability Center Hybrid,CA,Orange,-117.985383560716,33.806955861895,GT1,,,,Natural Gas Fired Combustion Turbine,GT,,J,X,X,,,70.5,0.85,70.5,70.5,OP,N,IPP Non-CHP,2,NG,,,,,,,,,,,,,,,,N,,,0,N,,,X,7,2020,,,X,,,,,10M,,,,,,,,,,,,,,,,
Other,FALSE,FALSE,FALSE,Independent Power Producer,20323,"Wellhead Services, Inc",60698,Stanton Energy Reliability Center Hybrid,CA,Orange,-117.985383560716,33.806955861895,GT2,,,,Natural Gas Fired Combustion Turbine,GT,,J,X,X,,,70.5,0.85,70.5,70.5,OP,N,IPP Non-CHP,2,NG,,,,,,,,,,,,,,,,N,,,0,N,,,X,7,2020,,,X,,,,,10M,,,,,,,,,,,,,,,,
Electric Utility,FALSE,FALSE,FALSE,Municipal,16295,City of Roseville - (CA),56298,Roseville Energy Park,CA,Placer,-121.382178774015,38.792414783154,0004,,,,Natural Gas Fired Combustion Turbine,GT,,W,X,X,,,30,0.8,30.6,33.6,SB,N,Electric Utility,1,NG,,,,,,,,,,,,,,N,,N,N,N,,N,,,N,8,2022,,,X,,,,,10M,,,,,,,,,,,,,,,,
Electric Utility,FALSE,FALSE,FALSE,Municipal,16295,City of Roseville - (CA),56298,Roseville Energy Park,CA,Placer,-121.382178774015,38.792414783154,0005,,,,Natural Gas Fired Combustion Turbine,GT,,W,X,X,,,30,0.8,30.6,33.6,SB,N,Electric Utility,1,NG,,,,,,,,,,,,,,N,,N,N,N,,N,,,N,8,2022,,,X,,,,,10M,,,,,,,,,,,,,,,,
Other,FALSE,FALSE,FALSE,Commercial,22091,New-Indy Ontario LLC,10427,New-Indy Ontario Mill,CA,San Bernardino,-117.540002874198,34.046716849786,GEN2,,,,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,16.5,1,14.7,14.8,OP,N,Industrial Non-CHP,6,NG,,,,,,,,,,,,,,N,N,N,N,N,8,N,,,X,11,2019,,,X,,,,,12H,,,,,,,,,,,,,,,,
Other,FALSE,FALSE,FALSE,Commercial,22091,New-Indy Ontario LLC,10427,New-Indy Ontario Mill,CA,San Bernardino,-117.540002874198,34.046716849786,GEN3,,,,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,16.5,1,14.7,14.8,OP,N,Industrial Non-CHP,6,NG,,,,,,,,,,,,,,N,N,N,N,N,8,N,,,X,11,2019,,,X,,,,,12H,,,,,,,,,,,,,,,,
Other,FALSE,FALSE,FALSE,Commercial,58105,University of Redlands,58168,Energy Center,CA,San Bernardino,-117.163115474198,34.065281416456,TURB1,,,,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,0.3,0.8,0.3,0.3,OP,Y,Commercial CHP,5,NG,,,,,,,,,,,,,,N,N,N,N,,0.3,N,,,X,5,2019,,,T,,,,,10M,,,,,,,,,,,,,,,,
Other,FALSE,FALSE,FALSE,Commercial,58105,University of Redlands,58168,Energy Center,CA,San Bernardino,-117.163115474198,34.065281416456,TURB2,,,,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,0.3,0.8,0.3,0.3,OP,Y,Commercial CHP,5,NG,,,,,,,,,,,,,,N,N,N,N,,0.3,N,,,X,5,2019,,,T,,,,,10M,,,,,,,,,,,,,,,,
Other,FALSE,FALSE,FALSE,Commercial,58105,University of Redlands,58168,Energy Center,CA,San Bernardino,-117.163115474198,34.065281416456,TURB3,,,,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,0.3,0.8,0.3,0.3,OP,Y,Commercial CHP,5,NG,,,,,,,,,,,,,,N,N,N,N,,0.3,N,,,X,5,2019,,,T,,,,,10M,,,,,,,,,,,,,,,,
Other,FALSE,FALSE,FALSE,Independent Power Producer,58847,NRG California Peaker Operations LLC,59002,Carlsbad Energy Center,CA,San Diego,-117.334297528769,33.1393444799644,CEC 6,,,,Natural Gas Fired Combustion Turbine,GT,,W,X,X,CARLS1_2_CARCT1,CARLS1_2_CARCT1,131.8,0.85,105.5,105.5,OP,N,IPP Non-CHP,2,NG,,,,,,0,,,,,,,,N,N,N,N,N,24,N,,,X,12,2018,,,X,NG,,,,10M,,,,,,,,,,,,,,,,
Other,FALSE,FALSE,FALSE,Independent Power Producer,58847,NRG California Peaker Operations LLC,59002,Carlsbad Energy Center,CA,San Diego,-117.334297528769,33.1393444799644,CEC 7,,,,Natural Gas Fired Combustion Turbine,GT,,W,X,X,CARLS1_2_CARCT1,CARLS1_2_CARCT1,131.8,0.85,105.5,105.5,OP,N,IPP Non-CHP,2,NG,,,,,,,,,,,,,,N,N,N,N,N,24,N,,,X,12,2018,,,X,NG,,,,10M,,,,,,,,,,,,,,,,
Other,FALSE,FALSE,FALSE,Independent Power Producer,58847,NRG California Peaker Operations LLC,59002,Carlsbad Energy Center,CA,San Diego,-117.334297528769,33.1393444799644,CEC 8,,,,Natural Gas Fired Combustion Turbine,GT,,W,X,X,CARLS1_2_CARCT1,CARLS1_2_CARCT1,131.8,0.85,105.5,105.5,OP,N,IPP Non-CHP,2,NG,,,,,,,,,,,,,,N,N,N,N,N,24,N,,,X,12,2018,,,X,NG,,,,10M,,,,,,,,,,,,,,,,
Other,FALSE,FALSE,FALSE,Independent Power Producer,58847,NRG California Peaker Operations LLC,59002,Carlsbad Energy Center,CA,San Diego,-117.334297528769,33.1393444799644,CEC 9,,,,Natural Gas Fired Combustion Turbine,GT,,W,X,X,CARLS1_2_CARCT1,CARLS1_2_CARCT1,131.8,0.85,105.5,105.5,OP,N,IPP Non-CHP,2,NG,,,,,,,,,,,,,,N,N,N,N,N,24,N,,,X,12,2018,,,X,NG,,,,10M,,,,,,,,,,,,,,,,
Other,FALSE,FALSE,FALSE,Independent Power Producer,58847,NRG California Peaker Operations LLC,59002,Carlsbad Energy Center,CA,San Diego,-117.334297528769,33.1393444799644,CEC10,,,,Natural Gas Fired Combustion Turbine,GT,,W,X,X,CARLS2_1_CARCT1,CARLS2_1_CARCT1,131.8,0.85,105.5,105.5,OP,N,IPP Non-CHP,2,NG,,,,,,0,,,,,,,,N,N,N,N,N,24,N,,,X,12,2018,,,X,NG,,,,10M,,,,,,,,,,,,,,,,
Other,FALSE,FALSE,FALSE,Independent Power Producer,64430,"Calpine Greenleaf Holding, Inc.",10350,Greenleaf 1,CA,Sutter,-121.639040833527,39.1397094289093,CTGA,,,,Natural Gas Fired Combustion Turbine,GT,,W,X,X,,,34.9,0.9,30,30,OP,N,IPP Non-CHP,2,NG,,,,,,,,,,,,,,,,N,,,9,N,,,X,8,2022,,,X,,,,,10M,,,,,,,,,,,,,,,,
Other,FALSE,FALSE,FALSE,Independent Power Producer,64430,"Calpine Greenleaf Holding, Inc.",10350,Greenleaf 1,CA,Sutter,-121.639040833527,39.1397094289093,CTGB,,,,Natural Gas Fired Combustion Turbine,GT,,W,X,X,,,34.9,0.9,30,30,OP,N,IPP Non-CHP,2,NG,,,,,,,,,,,,,,,,N,,,9,N,,,X,8,2022,,,X,,,,,10M,,,,,,,,,,,,,,,,
