state,county,plant_name,owner_name,unit,EIA,EIA_proposed,NEEDS,NESHAP
Alabama,Mobile,Barry,NA,1,FALSE,TRUE,FALSE,FALSE
Alabama,Mobile,Barry,NA,2,FALSE,TRUE,FALSE,FALSE
Alabama,Mobile,Kimberly Clark Mobile - CHP Plant,NA,1,TRUE,FALSE,FALSE,FALSE
Alabama,Mobile,Kimberly Clark Mobile - CHP Plant,NA,2,TRUE,FALSE,FALSE,FALSE
Alabama,Washington,Lowman Energy Center,NA,1,FALSE,TRUE,FALSE,FALSE
Alabama,Washington,Lowman Energy Center,NA,2,FALSE,TRUE,FALSE,FALSE
Arizona,Maricopa,Agua Fria,Salt River Project,1,TRUE,FALSE,TRUE,FALSE
Arizona,Maricopa,Agua Fria,Salt River Project,2,TRUE,FALSE,TRUE,FALSE
Arizona,Maricopa,Arizona State University CHP,NA,1,TRUE,FALSE,FALSE,FALSE
Arizona,Maricopa,Gila Bend Power Generation Station,NA,1,FALSE,TRUE,FALSE,FALSE
Arizona,Maricopa,Gila Bend Power Generation Station,NA,2,FALSE,TRUE,FALSE,FALSE
Arizona,Maricopa,Gila Bend Power Generation Station,NA,3,FALSE,TRUE,FALSE,FALSE
Arizona,Maricopa,Gila Bend Power Generation Station,NA,4,FALSE,TRUE,FALSE,FALSE
Arizona,Maricopa,Ocotillo,Arizona Public Service Co,1,TRUE,FALSE,TRUE,FALSE
Arizona,Maricopa,Ocotillo,Arizona Public Service Co,2,TRUE,FALSE,TRUE,FALSE
Arizona,Maricopa,Ocotillo,Arizona Public Service Co,3,TRUE,FALSE,TRUE,FALSE
Arizona,Maricopa,Ocotillo,Arizona Public Service Co,4,TRUE,FALSE,TRUE,FALSE
Arizona,Maricopa,Ocotillo,Arizona Public Service Co,5,TRUE,FALSE,TRUE,FALSE
Arizona,Pinal,Desert Basin,Salt River Project,1,TRUE,FALSE,TRUE,FALSE
Arizona,Pinal,Desert Basin,Salt River Project,2,TRUE,FALSE,TRUE,FALSE
California,Imperial,CE&P Imperial Valley 1,NA,1,FALSE,TRUE,FALSE,FALSE
California,Los Angeles,AES Alamitos Energy Center,AES Alamitos Energy LLC,1,TRUE,FALSE,TRUE,FALSE
California,Los Angeles,AES Alamitos Energy Center,AES Alamitos Energy LLC,2,TRUE,FALSE,TRUE,FALSE
California,Los Angeles,AES Alamitos Energy Center,AES Alamitos Energy LLC,3,TRUE,FALSE,TRUE,FALSE
California,Orange,AES Huntington Beach Energy Project,AES Southland LLC,1,TRUE,FALSE,TRUE,FALSE
California,Orange,AES Huntington Beach Energy Project,AES Southland LLC,2,TRUE,FALSE,TRUE,FALSE
California,Orange,AES Huntington Beach Energy Project,AES Southland LLC,3,TRUE,FALSE,TRUE,FALSE
California,Orange,Blacksand Generating Facility,NA,1,FALSE,TRUE,FALSE,FALSE
California,Orange,Blacksand Generating Facility,NA,2,FALSE,TRUE,FALSE,FALSE
California,Orange,Stanton Energy Reliability Center Hybrid,Stanton Energy Reliability Center LLC,1,TRUE,FALSE,TRUE,FALSE
California,Orange,Stanton Energy Reliability Center Hybrid,Stanton Energy Reliability Center LLC,2,TRUE,FALSE,TRUE,FALSE
California,Placer,Roseville Energy Park,California Dept. of Water Resources,1,TRUE,FALSE,TRUE,FALSE
California,Placer,Roseville Energy Park,California Dept. of Water Resources,2,TRUE,FALSE,TRUE,FALSE
California,San Bernardino,Energy Center,NA,1,TRUE,FALSE,FALSE,FALSE
California,San Bernardino,Energy Center,NA,2,TRUE,FALSE,FALSE,FALSE
California,San Bernardino,Energy Center,NA,3,TRUE,FALSE,FALSE,FALSE
California,San Bernardino,New-Indy Ontario Mill,New Indy Ontario LLC,1,TRUE,FALSE,TRUE,FALSE
California,San Bernardino,New-Indy Ontario Mill,New Indy Ontario LLC,2,TRUE,FALSE,TRUE,FALSE
California,San Diego,Carlsbad Energy Center,Carlsbad Energy Center LLC,1,TRUE,FALSE,TRUE,FALSE
California,San Diego,Carlsbad Energy Center,Carlsbad Energy Center LLC,2,TRUE,FALSE,TRUE,FALSE
California,San Diego,Carlsbad Energy Center,Carlsbad Energy Center LLC,3,TRUE,FALSE,TRUE,FALSE
California,San Diego,Carlsbad Energy Center,Carlsbad Energy Center LLC,4,TRUE,FALSE,TRUE,FALSE
California,San Diego,Carlsbad Energy Center,Carlsbad Energy Center LLC,5,TRUE,FALSE,TRUE,FALSE
California,Sutter,Greenleaf 1,California Dept. of Water Resources,1,TRUE,FALSE,TRUE,FALSE
California,Sutter,Greenleaf 1,California Dept. of Water Resources,2,TRUE,FALSE,TRUE,FALSE
Colorado,Denver,Cherokee Station,Public Service Company of Colorado,1,FALSE,FALSE,FALSE,TRUE
Colorado,Denver,Cherokee Station,Public Service Company of Colorado,2,FALSE,FALSE,FALSE,TRUE
Colorado,El Paso,South Plant,NA,1,FALSE,TRUE,FALSE,FALSE
Colorado,El Paso,South Plant,NA,2,FALSE,TRUE,FALSE,FALSE
Colorado,El Paso,South Plant,NA,3,FALSE,TRUE,FALSE,FALSE
Colorado,El Paso,South Plant,NA,4,FALSE,TRUE,FALSE,FALSE
Colorado,El Paso,South Plant,NA,5,FALSE,TRUE,FALSE,FALSE
Colorado,El Paso,South Plant,NA,6,FALSE,TRUE,FALSE,FALSE
Connecticut,Fairfield,Bridgeport Station,PSEG Power Connecticut LLC,1,TRUE,FALSE,TRUE,TRUE
Connecticut,Fairfield,Bridgeport Station,PSEG Power Connecticut LLC,2,TRUE,FALSE,TRUE,FALSE
Connecticut,Hartford,Hartford Hospital Cogeneration,NA,1,FALSE,TRUE,FALSE,FALSE
Connecticut,Hartford,Hartford Hospital Cogeneration,NA,2,FALSE,TRUE,FALSE,FALSE
Connecticut,New Haven,CPV Towantic Energy Center,CPV Towantic LLC,1,TRUE,FALSE,TRUE,FALSE
Connecticut,New Haven,CPV Towantic Energy Center,CPV Towantic LLC,2,TRUE,FALSE,TRUE,FALSE
Connecticut,New Haven,CPV Towantic Energy Center,CPV Towantic LLC,3,TRUE,FALSE,TRUE,FALSE
Connecticut,New Haven,Wallingford Energy,Wallingford Energy II LLC,1,TRUE,FALSE,TRUE,FALSE
Connecticut,New Haven,Wallingford Energy,Wallingford Energy II LLC,2,TRUE,FALSE,TRUE,FALSE
Florida,Alachua,John R Kelly,Gainesville Regional Utilities,1,TRUE,FALSE,TRUE,FALSE
Florida,Broward,Dania Beach 7,Florida Power & Light Co,1,TRUE,FALSE,TRUE,FALSE
Florida,Broward,Dania Beach 7,Florida Power & Light Co,2,TRUE,FALSE,TRUE,FALSE
Florida,Broward,Dania Beach 7,Florida Power & Light Co,3,TRUE,FALSE,TRUE,FALSE
Florida,Broward County,Dania Beach (Part of Lauderdale Plant),Florida Power & Light Co,1,FALSE,FALSE,FALSE,TRUE
Florida,Broward County,Dania Beach (Part of Lauderdale Plant),Florida Power & Light Co,2,FALSE,FALSE,FALSE,TRUE
Florida,Citrus,Crystal River,Duke Energy Florida,1,TRUE,FALSE,TRUE,FALSE
Florida,Citrus,Crystal River,Duke Energy Florida,2,TRUE,FALSE,TRUE,FALSE
Florida,Citrus,Crystal River,Duke Energy Florida,3,TRUE,FALSE,TRUE,FALSE
Florida,Citrus,Crystal River,Duke Energy Florida,4,TRUE,FALSE,TRUE,FALSE
Florida,Citrus,Crystal River,Duke Energy Florida,5,TRUE,FALSE,TRUE,FALSE
Florida,Citrus,Crystal River,Duke Energy Florida,6,TRUE,FALSE,TRUE,FALSE
Florida,Escambia,Gulf Clean Energy Center,Florida Power & Light Co,1,TRUE,FALSE,TRUE,TRUE
Florida,Escambia,Gulf Clean Energy Center,Florida Power & Light Co,2,TRUE,FALSE,TRUE,TRUE
Florida,Escambia,Gulf Clean Energy Center,Florida Power & Light Co,3,TRUE,FALSE,TRUE,TRUE
Florida,Escambia,Gulf Clean Energy Center,Florida Power & Light Co,4,TRUE,FALSE,TRUE,TRUE
Florida,Hillsborough,Big Bend,Tampa Electric Co,1,TRUE,FALSE,TRUE,FALSE
Florida,Hillsborough,Big Bend,Tampa Electric Co,2,TRUE,FALSE,TRUE,FALSE
Florida,Hillsborough,Big Bend Station,Tampa Electric Company,1,FALSE,FALSE,FALSE,TRUE
Florida,Hillsborough,Big Bend Station,Tampa Electric Company,2,FALSE,FALSE,FALSE,TRUE
